-- Logs begin at Mon 2019-09-30 19:40:36 UTC, end at Wed 2019-10-02 11:57:19 UTC. --
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.936513 W | wal: sync duration of 1.511875732s, expected less than 1s
Oct 02 11:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:21.912289 W | etcdserver: request "header:<ID:14919135698849682800 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:31414637 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:5886 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (448.746815ms) to execute
Oct 02 11:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:21.912447 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (313.77166ms) to execute
Oct 02 11:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:21.912706 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-55g98\" " with result "range_response_count:1 size:2314" took too long (318.448124ms) to execute
Oct 02 11:36:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:24.393373 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:683" took too long (181.327353ms) to execute
Oct 02 11:36:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:24.393433 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "range_response_count:1 size:644" took too long (181.604063ms) to execute
Oct 02 11:36:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:24.393568 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (182.033802ms) to execute
Oct 02 11:36:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:24.393652 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (182.077816ms) to execute
Oct 02 11:36:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:24.393720 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (182.152672ms) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.089255 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (921.665081ms) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.089322 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.145650718s) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.089367 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (460.472704ms) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.089469 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.057896616s) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.089564 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (1.205616868s) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.089678 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (830.989799ms) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.089694 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (940.502617ms) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.089880 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (635.461984ms) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.090312 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (662.35659ms) to execute
